"","species_id","id","genus","species","mean_mass","mean_sd","contains_estimates"
"1",27,"sp20630","Alopochen","aegyptiaca",1873,61.0789175132986,TRUE
"2",28,"sp10210","Cairina","moschata",2450,69.6230470177474,TRUE
"3",77,"sp3110","Ortalis","vetula",563,55,FALSE
"4",85,"sp2920","Oreortyx","pictus",233,21.4352829085932,TRUE
"5",90,"sp2890","Colinus","virginianus",172,18.3764529215152,TRUE
"6",92,"sp2930","Callipepla","squamata",184,19.0157990081157,TRUE
"7",94,"sp2940","Callipepla","californica",166.333333333333,16.4673760492361,TRUE
"8",95,"sp2950","Callipepla","gambelii",166,18.0494746955668,TRUE
"9",96,"sp2960","Cyrtonyx","montezumae",185.5,16.85,FALSE
"10",100,"sp2882","Alectoris","chukar",503.5,31.5849920856858,TRUE
"11",103,"sp2881","Perdix","perdix",405.5,31,FALSE
"12",104,"sp3091","Phasianus","colchicus",1135,47.3701248265646,TRUE
"13",105,"sp3095","Pavo","cristatus",4194,157.982966074885,TRUE
"14",106,"sp3000","Bonasa","umbellus",532,36.5665787704424,TRUE
"15",107,"sp3090","Centrocercus","urophasianus",2208.75,114.211712660708,TRUE
"16",108,"sp3089","Centrocercus","minimus",1650,56.774563444187,TRUE
"17",109,"sp2980","Falcipennis","canadensis",474,29.5,FALSE
"18",110,"sp3010","Lagopus","lagopus",570.666666666667,35.8113224551883,TRUE
"19",111,"sp3020","Lagopus","muta",535.5,43.9,FALSE
"20",112,"sp3040","Lagopus","leucura",355,26.5102114079632,TRUE
"21",113,"sp2970","Dendragapus","obscurus",1058.5,70.95,FALSE
"22",114,"sp2971","Dendragapus","fuliginosus",1056,73.75,FALSE
"23",116,"sp3080","Tympanuchus","phasianellus",885,41.9206505597053,TRUE
"24",117,"sp3050","Tympanuchus","cupido",864,41.4163076166151,TRUE
"25",118,"sp3070","Tympanuchus","pallidicinctus",746,38.5037048823325,TRUE
"26",119,"sp3100","Meleagris","gallopavo",6050,108.646574651032,TRUE
"27",130,"sp3131","Columba","livia",354.5,36.65,FALSE
"28",134,"sp3140","Patagioenas","leucocephala",179.333333333333,94.3333333333333,FALSE
"29",135,"sp3130","Patagioenas","flavirostris",271,27.3814759680596,TRUE
"30",136,"sp3120","Patagioenas","fasciata",367.25,26.9500122726271,TRUE
"31",139,"sp3152","Streptopelia","roseogrisea",155,17.4324885971917,TRUE
"32",141,"sp22860","Streptopelia","decaocto",149,10.95,FALSE
"33",142,"sp3151","Streptopelia","chinensis",159,11,FALSE
"34",143,"sp3210","Columbina","inca",47.5,4.4,FALSE
"35",144,"sp3200","Columbina","passerina",35.5857142857143,3.78259059454187,TRUE
"36",146,"sp3201","Columbina","talpacoti",46.05,7.72643866013729,TRUE
"37",151,"sp3180","Leptotila","verreauxi",147.5,23.8932814391904,TRUE
"38",157,"sp3190","Zenaida","asiatica",153,13.2,FALSE
"39",159,"sp3160","Zenaida","macroura",119,1.8,FALSE
"40",165,"sp3870","Coccyzus","americanus",64,9.1,FALSE
"41",166,"sp3860","Coccyzus","minor",63.9,10.8,FALSE
"42",167,"sp3880","Coccyzus","erythropthalmus",50.9,7.3,FALSE
"43",173,"sp3850","Geococcyx","californianus",376,90,FALSE
"44",174,"sp3830","Crotophaga","ani",111.733333333333,23.849398033798,TRUE
"45",175,"sp3840","Crotophaga","sulcirostris",82.2,6.85,FALSE
"46",196,"sp4220","Cypseloides","niger",39.9,2.26666666666667,FALSE
"47",201,"sp4230","Chaetura","pelagica",23.6,6.46526963855133,TRUE
"48",202,"sp4240","Chaetura","vauxi",17.1,1.3,FALSE
"49",206,"sp4250","Aeronautes","saxatalis",32.1,2.5,FALSE
"50",219,"sp4260","Eugenes","fulgens",8.1,0.375,FALSE
"51",224,"sp4270","Lampornis","clemenciae",7.6,0.25,FALSE
"52",230,"sp4370","Calothorax","lucifer",3.3,1.14415849116898,TRUE
"53",232,"sp4280","Archilochus","colubris",3.1,0.25,FALSE
"54",233,"sp4290","Archilochus","alexandri",3.4,0.4,FALSE
"55",235,"sp4310","Calypte","anna",4.25,0.4,FALSE
"56",236,"sp4300","Calypte","costae",3.1,0.94821629989129,TRUE
"57",239,"sp4320","Selasphorus","platycercus",3.55,0.35,FALSE
"58",240,"sp4330","Selasphorus","rufus",3.5,1.30691275415228,TRUE
"59",241,"sp4340","Selasphorus","sasin",3.375,1.19146726521177,TRUE
"60",244,"sp4360","Selasphorus","calliope",2.65,0.558384202663843,TRUE
"61",249,"sp4410","Cynanthus","latirostris",3.1,0.4,FALSE
"62",265,"sp4390","Amazilia","yucatanensis",3.9,1.57793757766906,TRUE
"63",267,"sp4391","Amazilia","violiceps",5.1,2.21345867351989,TRUE
"64",611,"sp3260","Coragyps","atratus",1899.5,115,FALSE
"65",612,"sp3250","Cathartes","aura",1552,123.937756629881,TRUE
"66",615,"sp3240","Gymnogyps","californianus",8450,129.776575100021,TRUE
"67",617,"sp3640","Pandion","haliaetus",1485.5,54.3638818486142,TRUE
"68",618,"sp3280","Elanus","leucurus",346,23.2,FALSE
"69",619,"sp3271","Chondrohierax","uncinatus",287,23.7960329812857,TRUE
"70",621,"sp3270","Elanoides","forficatus",417,28.7354663838159,TRUE
"71",624,"sp3490","Aquila","chrysaetos",4263.5,377.5,FALSE
"72",629,"sp3310","Circus","hudsonius",401,37.0124786456615,TRUE
"73",631,"sp3320","Accipiter","striatus",135.725,12.1725566620849,TRUE
"74",632,"sp3330","Accipiter","cooperii",439,27.85,FALSE
"75",634,"sp3340","Accipiter","gentilis",901.666666666667,32.9803209503394,TRUE
"76",637,"sp3520","Haliaeetus","leucocephalus",4740,97.0044039913579,TRUE
"77",640,"sp3290","Ictinia","mississippiensis",278,23.3933671559517,TRUE
"78",644,"sp3300","Rostrhamus","sociabilis",370.75,30.2566383663735,TRUE
"79",645,"sp3450","Buteogallus","anthracinus",996,44.2770016731982,TRUE
"80",649,"sp3350","Parabuteo","unicinctus",865,41.2958392762778,TRUE
"81",650,"sp3410","Geranoaetus","albicaudatus",886,41.9637498990472,TRUE
"82",652,"sp3460","Buteo","plagiatus",528.5,32.2398105140616,TRUE
"83",653,"sp3390","Buteo","lineatus",607,34.6723562248733,TRUE
"84",654,"sp3430","Buteo","platypterus",455,30.0153743883911,TRUE
"85",655,"sp3440","Buteo","brachyurus",502.5,45.5,FALSE
"86",656,"sp3420","Buteo","swainsoni",958.5,43.5278255406962,TRUE
