species_id,id,english_common_name,french_common_name,spanish_common_name,sporder,family,genus,species,mass,sd,sex,subspecies,location,name_mismatch,name_notes,not_in_dunning,close_genus,close_species,close_subspecies,close_species_notes
27,sp20630,Egyptian Goose,Ouette d'Égypte,Alopochen aegyptiaca,Anseriformes,Anatidae,Alopochen,aegyptiaca,,,,,,,,,,,,
27,sp20630,Egyptian Goose,Ouette d'Égypte,Alopochen aegyptiaca,Anseriformes,Anatidae,Alopochen,aegyptiaca,,,,,,,,,,,,
28,sp10210,Muscovy Duck,Canard musqué,Cairina moschata,Anseriformes,Anatidae,Cairina,moschata,,,,,,,,,,,,
28,sp10210,Muscovy Duck,Canard musqué,Cairina moschata,Anseriformes,Anatidae,Cairina,moschata,,,,,,,,,,,,
77,sp3110,Plain Chachalaca,Ortalide chacamel,Ortalis vetula,Galliformes,Cracidae,Ortalis,vetula,,,,,,,,,,,,
77,sp3110,Plain Chachalaca,Ortalide chacamel,Ortalis vetula,Galliformes,Cracidae,Ortalis,vetula,,,,,,,,,,,,
85,sp2920,Mountain Quail,Colin des montagnes,Oreortyx pictus,Galliformes,Odontophoridae,Oreortyx,pictus,,,,,,,,,,,,
85,sp2920,Mountain Quail,Colin des montagnes,Oreortyx pictus,Galliformes,Odontophoridae,Oreortyx,pictus,,,,,,,,,,,,
90,sp2890,Northern Bobwhite,Colin de Virginie,Colinus virginianus,Galliformes,Odontophoridae,Colinus,virginianus,,,,,,,,,,,,
90,sp2890,Northern Bobwhite,Colin de Virginie,Colinus virginianus,Galliformes,Odontophoridae,Colinus,virginianus,,,,,,,,,,,,
92,sp2930,Scaled Quail,Colin écaillé,Callipepla squamata,Galliformes,Odontophoridae,Callipepla,squamata,,,,,,,,,,,,
92,sp2930,Scaled Quail,Colin écaillé,Callipepla squamata,Galliformes,Odontophoridae,Callipepla,squamata,,,,,,,,,,,,
94,sp2940,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,Callipepla,californica,,,,,,,,,,,,
94,sp2940,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,Callipepla,californica,,,,,,,,,,,,
95,sp2950,Gambel's Quail,Colin de Gambel,Callipepla gambelii,Galliformes,Odontophoridae,Callipepla,gambelii,,,,,,,,,,,,
95,sp2950,Gambel's Quail,Colin de Gambel,Callipepla gambelii,Galliformes,Odontophoridae,Callipepla,gambelii,,,,,,,,,,,,
