species_id,id,english_common_name,french_common_name,spanish_common_name,sporder,family,genus,species,mass,sd,sex,subspecies,location,name_mismatch,name_notes,not_in_dunning,close_genus,close_species,close_subspecies,close_species_notes
27,sp20630,Egyptian Goose,Ouette d'Égypte,Alopochen aegyptiaca,Anseriformes,Anatidae,Alopochen,aegyptiaca,1873,,m,,,1,Alopochen aegyptiana,,,,,
28,sp10210,Muscovy Duck,Canard musqué,Cairina moschata,Anseriformes,Anatidae,Cairina,moschata,2858,,m,,,,,,,,,
28,sp10210,Muscovy Duck,Canard musqué,Cairina moschata,Anseriformes,Anatidae,Cairina,moschata,2042,,f,,,,,,,,,
77,sp3110,Plain Chachalaca,Ortalide chacamel,Ortalis vetula,Galliformes,Cracidae,Ortalis,vetula,584,58,m,,"Texas, USA",,,,,,,
77,sp3110,Plain Chachalaca,Ortalide chacamel,Ortalis vetula,Galliformes,Cracidae,Ortalis,vetula,542,52,f,,"Texas, USA",,,,,,,
85,sp2920,Mountain Quail,Colin des montagnes,Oreortyx pictus,Galliformes,Odontophoridae,Oreortyx,pictus,233,,,,,,,,,,,
90,sp2890,Northern Bobwhite,Colin de Virginie,Colinus virginianus,Galliformes,Odontophoridae,Colinus,virginianus,178,,,,"Illinois, USA",,,,,,,
90,sp2890,Northern Bobwhite,Colin de Virginie,Colinus virginianus,Galliformes,Odontophoridae,Colinus,virginianus,166,,,,"Sonora, Mexico",,,,,,,
92,sp2930,Scaled Quail,Colin écaillé,Callipepla squamata,Galliformes,Odontophoridae,Callipepla,squamata,191,,m,,,,,,,,,
92,sp2930,Scaled Quail,Colin écaillé,Callipepla squamata,Galliformes,Odontophoridae,Callipepla,squamata,177,,f,,,,,,,,,
94,sp2940,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,Callipepla,californica,186,15.7,m,,"California, USA",,,,,,,
94,sp2940,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,Callipepla,californica,162,16.5,f,,"California, USA",,,,,,,
94,sp2940,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,Callipepla,californica,151,,,,"Baja California Sur, Mexico",,,,,,,
95,sp2950,Gambel's Quail,Colin de Gambel,Callipepla gambelii,Galliformes,Odontophoridae,Callipepla,gambelii,170,,m,,,,,,,,,
95,sp2950,Gambel's Quail,Colin de Gambel,Callipepla gambelii,Galliformes,Odontophoridae,Callipepla,gambelii,162,,f,,,,,,,,,
96,sp2960,Montezuma Quail,Colin arlequin,Cyrtonyx montezumae,Galliformes,Odontophoridae,Cyrtonyx,montezumae,192,14.2,m,,,,,,,,,
96,sp2960,Montezuma Quail,Colin arlequin,Cyrtonyx montezumae,Galliformes,Odontophoridae,Cyrtonyx,montezumae,179,19.5,f,,,,,,,,,
100,sp2882,Chukar,Perdrix choukar,Alectoris chukar,Galliformes,Phasianidae,Alectoris,chukar,541,,m,,"Hopei, China",1,Alectoris chukar pubescens,,,,,
100,sp2882,Chukar,Perdrix choukar,Alectoris chukar,Galliformes,Phasianidae,Alectoris,chukar,466,,f,,"Hopei, China",1,Alectoris chukar pubescens,,,,,
103,sp2881,Gray Partridge,Perdrix grise,Perdix perdix,Galliformes,Phasianidae,Perdix,perdix,393,34,f,,"North Dakota, US",,,,,,,
103,sp2881,Gray Partridge,Perdrix grise,Perdix perdix,Galliformes,Phasianidae,Perdix,perdix,418,28,m,,"North Dakota, US",,,,,,,
103,sp2881,Gray Partridge,Perdrix grise,Perdix perdix,Galliformes,Phasianidae,Perdix,perdix,393,34,f,,"North Dakota, US",,,,,,,
103,sp2881,Gray Partridge,Perdrix grise,Perdix perdix,Galliformes,Phasianidae,Perdix,perdix,418,28,m,,"North Dakota, US",,,,,,,
104,sp3091,Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,Galliformes,Phasianidae,Phasianus,colchicus,1317,,m,,,,,,,,,
104,sp3091,Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,Galliformes,Phasianidae,Phasianus,colchicus,953,,f,,,,,,,,,
105,sp3095,Indian Peafowl,Paon bleu,Pavo cristatus,Galliformes,Phasianidae,Pavo,cristatus,4766,231,m,,,,,,,,,
105,sp3095,Indian Peafowl,Paon bleu,Pavo cristatus,Galliformes,Phasianidae,Pavo,cristatus,3622,,f,,,,,,,,,
106,sp3000,Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,Galliformes,Phasianidae,Bonasa,umbellus,566,41.7,m,,"Alberta, Canada",,,,,,,
106,sp3000,Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,Galliformes,Phasianidae,Bonasa,umbellus,498,,f,,"Alberta, Canada",,,,,,,
107,sp3090,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Galliformes,Phasianidae,Centrocercus,urophasianus,3190,183,m,urophasianus,"Colorado, USA",,,,,,,
107,sp3090,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Galliformes,Phasianidae,Centrocercus,urophasianus,1745,151,f,urophasianus,"Colorado, USA",,,,,,,
107,sp3090,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Galliformes,Phasianidae,Centrocercus,urophasianus,2600,,m,phaios,"California, USA",,,,,,,
107,sp3090,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Galliformes,Phasianidae,Centrocercus,urophasianus,1300,,f,phaios,"California, USA",,,,,,,
108,sp3089,Gunnison Sage-Grouse,Tétras du Gunnison,Centrocercus minimus,Galliformes,Phasianidae,Centrocercus,minimus,2100,,m,,"Colorado, USA",,,,,,,
108,sp3089,Gunnison Sage-Grouse,Tétras du Gunnison,Centrocercus minimus,Galliformes,Phasianidae,Centrocercus,minimus,1200,,f,,"Colorado, USA",,,,,,,
109,sp2980,Spruce Grouse,Tétras du Canada,Falcipennis canadensis,Galliformes,Phasianidae,Falcipennis,canadensis,492,31.5,m,,"Washington, USA",,,,,,,
109,sp2980,Spruce Grouse,Tétras du Canada,Falcipennis canadensis,Galliformes,Phasianidae,Falcipennis,canadensis,456,27.5,f,,"Washington, USA",,,,,,,
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,613,38.5,m,alascensis,"Alaska, USA",,,,,,,
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,525,35.9,f,alascensis,"Alaska, USA",,,,,,,
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,547,42.4,m,alba,"Yukon Territory, Canada",,,,,,,
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,473,27.2,f,alba,"Yukon Territory, Canada",,,,,,,
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,680,,m,scotica,,,,,,,,
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,586,,f,scotica,,,,,,,,
111,sp3020,Rock Ptarmigan,Lagopède alpin,Lagopus muta,Galliformes,Phasianidae,Lagopus,muta,521,37.9,m,,"Northwest Terr., Canada",,,,,,,
111,sp3020,Rock Ptarmigan,Lagopède alpin,Lagopus muta,Galliformes,Phasianidae,Lagopus,muta,550,49.9,f,,"Northwest Terr., Canada",,,,,,,
112,sp3040,White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,Galliformes,Phasianidae,Lagopus,leucura,359,,m,,"Alaska, USA",,,,,,,
112,sp3040,White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,Galliformes,Phasianidae,Lagopus,leucura,351,,f,,"Alaska, USA",,,,,,,
113,sp2970,Dusky Grouse,Tétras sombre,Dendragapus obscurus,Galliformes,Phasianidae,Dendragapus,obscurus,1212,78.4,m,pallidus,"Washington, USA",,,,,,,
113,sp2970,Dusky Grouse,Tétras sombre,Dendragapus obscurus,Galliformes,Phasianidae,Dendragapus,obscurus,905,63.5,f,pallidus,"Washington, USA",,,,,,,
114,sp2971,Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,Galliformes,Phasianidae,Dendragapus,fuliginosus,1273,87.8,m,,"British Columbia, Canada",,,,,,,
114,sp2971,Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,Galliformes,Phasianidae,Dendragapus,fuliginosus,839,59.7,f,,"British Columbia, Canada",,,,,,,
116,sp3080,Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,Galliformes,Phasianidae,Tympanuchus,phasianellus,953,,m,,,,,,,,,
116,sp3080,Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,Galliformes,Phasianidae,Tympanuchus,phasianellus,817,,f,,,,,,,,,
117,sp3050,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,Galliformes,Phasianidae,Tympanuchus,cupido,933,,m,pinnatus,"Kansas, USA",,,,,,,
117,sp3050,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,Galliformes,Phasianidae,Tympanuchus,cupido,795,,f,pinnatus,"Kansas, USA",,,,,,,
118,sp3070,Lesser Prairie-Chicken,Tétras pâle,Tympanuchus pallidicinctus,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,762,,m,,"Colorado, USA",,,,,,,
118,sp3070,Lesser Prairie-Chicken,Tétras pâle,Tympanuchus pallidicinctus,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,730,,f,,"Colorado, USA",,,,,,,
119,sp3100,Wild Turkey,Dindon sauvage,Meleagris gallopavo,Galliformes,Phasianidae,Meleagris,gallopavo,7800,,m,silvestris,"New York, USA",,,,,,,
119,sp3100,Wild Turkey,Dindon sauvage,Meleagris gallopavo,Galliformes,Phasianidae,Meleagris,gallopavo,4300,,f,silvestris,"New York, USA",,,,,,,
130,sp3131,Rock Pigeon,Pigeon biset,Columba livia,Columbiformes,Columbidae,Columba,livia,369,38.6,m,,"Kansas, USA",,,,,,,
130,sp3131,Rock Pigeon,Pigeon biset,Columba livia,Columbiformes,Columbidae,Columba,livia,340,34.7,f,,"Kansas, USA",,,,,,,
134,sp3140,White-crowned Pigeon,Pigeon à couronne blanche,Patagioenas leucocephala,Columbiformes,Columbidae,Patagioenas,leucocephala,253,31,m,,"Florida, USA",,,,,,,
134,sp3140,White-crowned Pigeon,Pigeon à couronne blanche,Patagioenas leucocephala,Columbiformes,Columbidae,Patagioenas,leucocephala,230,14,f,,"Florida, USA",,,,,,,
134,sp3140,White-crowned Pigeon,Pigeon à couronne blanche,Patagioenas leucocephala,Columbiformes,Columbidae,Patagioenas,leucocephala,55,238,,,Cuba,,,,,,,
135,sp3130,Red-billed Pigeon,Pigeon à bec rouge,Patagioenas flavirostris,Columbiformes,Columbidae,Patagioenas,flavirostris,261,31.2,,,,,,,,,,
135,sp3130,Red-billed Pigeon,Pigeon à bec rouge,Patagioenas flavirostris,Columbiformes,Columbidae,Patagioenas,flavirostris,281,,,,"Tres Marias Is., Mexico",,,,,,,
136,sp3120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,Patagioenas,fasciata,353,,m,fasciata,"Colorado, USA",,,,,,,
136,sp3120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,Patagioenas,fasciata,332,,f,fasciata,"Colorado, USA",,,,,,,
136,sp3120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,Patagioenas,fasciata,398,,m,monilis,"California, USA",,,,,,,
136,sp3120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,Patagioenas,fasciata,386,,f,monilis,"California, USA",,,,,,,
139,sp3152,African Collared-Dove (a.k.a. Ringed Turtle-Dove),Tourterelle rieuse,Streptopelia roseogrisea,Columbiformes,Columbidae,Streptopelia,roseogrisea,155,,,,Chad; Niger,,,,,,,
141,sp22860,Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,Columbiformes,Columbidae,Streptopelia,decaocto,152,11.6,m,,India,,,,,,,
141,sp22860,Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,Columbiformes,Columbidae,Streptopelia,decaocto,146,10.3,f,,India,,,,,,,
142,sp3151,Spotted Dove,Tourterelle tigrine,Streptopelia chinensis,Columbiformes,Columbidae,Streptopelia,chinensis,159,11,,,"California, USA",,,,,,,
143,sp3210,Inca Dove,Colombe inca,Columbina inca,Columbiformes,Columbidae,Columbina,inca,47.5,4.4,,,"Arizona, USA",,,,,,,
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,35.4,2.5,,portoricensis,Puerto Rico,,,,,,,
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,37,,,passerina,"Florida, USA",,,,,,,
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,28.5,2.4,,exigua,"Mona Is., Puerto Rico",,,,,,,
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,32,2.5,,,Barbuda,,,,,,,
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,39.5,4.1,,,Cuba,,,,,,,
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,36.4,4.5,,,Dominican Republic,,,,,,,
