"species_id","id","english_common_name","french_common_name","spanish_common_name","sporder","family","genus","species"
103,"sp2881","Gray Partridge","Perdrix grise","Perdix perdix","Galliformes","Phasianidae","Perdix","perdix"
104,"sp3091","Ring-necked Pheasant","Faisan de Colchide","Phasianus colchicus","Galliformes","Phasianidae","Phasianus","colchicus"
116,"sp3080","Sharp-tailed Grouse","Tétras à queue fine","Tympanuchus phasianellus","Galliformes","Phasianidae","Tympanuchus","phasianellus"
130,"sp3131","Rock Pigeon","Pigeon biset","Columba livia","Columbiformes","Columbidae","Columba","livia"
141,"sp22860","Eurasian Collared-Dove","Tourterelle turque","Streptopelia decaocto","Columbiformes","Columbidae","Streptopelia","decaocto"
159,"sp3160","Mourning Dove","Tourterelle triste","Zenaida macroura","Columbiformes","Columbidae","Zenaida","macroura"
629,"sp3310","Northern Harrier","Busard des marais","Circus hudsonius","Accipitriformes","Accipitridae","Circus","hudsonius"
656,"sp3420","Swainson's Hawk","Buse de Swainson","Buteo swainsoni","Accipitriformes","Accipitridae","Buteo","swainsoni"
658,"sp3370","Red-tailed Hawk","Buse à queue rousse","Buteo jamaicensis","Accipitriformes","Accipitridae","Buteo","jamaicensis"
661,"sp3480","Ferruginous Hawk","Buse rouilleuse","Buteo regalis","Accipitriformes","Accipitridae","Buteo","regalis"
757,"sp4123","(unid. Red/Yellow Shafted) Northern Flicker","Pic flamboyant (groupe non identifié)","Colaptes auratus","Piciformes","Picidae","Colaptes","auratus"
773,"sp3600","American Kestrel","Crécerelle d'Amérique","Falco sparverius","Falconiformes","Falconidae","Falco","sparverius"
775,"sp3570","Merlin","Faucon émerillon","Falco columbarius","Falconiformes","Falconidae","Falco","columbarius"
782,"sp3550","Prairie Falcon","Faucon des prairies","Falco mexicanus","Falconiformes","Falconidae","Falco","mexicanus"
902,"sp4470","Western Kingbird","Tyran de l'Ouest","Tyrannus verticalis","Passeriformes","Tyrannidae","Tyrannus","verticalis"
904,"sp4440","Eastern Kingbird","Tyran tritri","Tyrannus tyrannus","Passeriformes","Tyrannidae","Tyrannus","tyrannus"
914,"sp4620","Western Wood-Pewee","Pioui de l'Ouest","Contopus sordidulus","Passeriformes","Tyrannidae","Contopus","sordidulus"
924,"sp4670","Least Flycatcher","Moucherolle tchébec","Empidonax minimus","Passeriformes","Tyrannidae","Empidonax","minimus"
938,"sp4570","Say's Phoebe","Moucherolle à ventre roux","Sayornis saya","Passeriformes","Tyrannidae","Sayornis","saya"
967,"sp6270","Warbling Vireo","Viréo mélodieux","Vireo gilvus","Passeriformes","Vireonidae","Vireo","gilvus"
998,"sp4750","Black-billed Magpie","Pie d'Amérique","Pica hudsonia","Passeriformes","Corvidae","Pica","hudsonia"
1001,"sp4880","American Crow","Corneille d'Amérique","Corvus brachyrhynchos","Passeriformes","Corvidae","Corvus","brachyrhynchos"
1012,"sp4740","Horned Lark","Alouette hausse-col","Eremophila alpestris","Passeriformes","Alaudidae","Eremophila","alpestris"
1019,"sp6140","Tree Swallow","Hirondelle bicolore","Tachycineta bicolor","Passeriformes","Hirundinidae","Tachycineta","bicolor"
