species_id,id,english_common_name,french_common_name,spanish_common_name,sporder,family,genus,species,mass,sd,sex,subspecies,location,name_mismatch,name_notes,not_in_dunning,close_genus,close_species,close_subspecies,close_species_notes
27,sp20630,Egyptian Goose,Ouette d'Égypte,Alopochen aegyptiaca,Anseriformes,Anatidae,Alopochen,aegyptiaca,1873,NA,m,NA,NA,1,Alopochen aegyptiana,NA,NA,NA,NA,NA
28,sp10210,Muscovy Duck,Canard musqué,Cairina moschata,Anseriformes,Anatidae,Cairina,moschata,2042,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,sp10210,Muscovy Duck,Canard musqué,Cairina moschata,Anseriformes,Anatidae,Cairina,moschata,2858,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,sp3110,Plain Chachalaca,Ortalide chacamel,Ortalis vetula,Galliformes,Cracidae,Ortalis,vetula,542,52,f,NA,"Texas, USA",NA,NA,NA,NA,NA,NA,NA
77,sp3110,Plain Chachalaca,Ortalide chacamel,Ortalis vetula,Galliformes,Cracidae,Ortalis,vetula,584,58,m,NA,"Texas, USA",NA,NA,NA,NA,NA,NA,NA
85,sp2920,Mountain Quail,Colin des montagnes,Oreortyx pictus,Galliformes,Odontophoridae,Oreortyx,pictus,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,sp2890,Northern Bobwhite,Colin de Virginie,Colinus virginianus,Galliformes,Odontophoridae,Colinus,virginianus,166,NA,NA,ridgwayi,"Sonora, Mexico",NA,NA,NA,NA,NA,NA,NA
90,sp2890,Northern Bobwhite,Colin de Virginie,Colinus virginianus,Galliformes,Odontophoridae,Colinus,virginianus,178,NA,NA,NA,"Illinois, USA",NA,NA,NA,NA,NA,NA,NA
92,sp2930,Scaled Quail,Colin écaillé,Callipepla squamata,Galliformes,Odontophoridae,Callipepla,squamata,177,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,sp2930,Scaled Quail,Colin écaillé,Callipepla squamata,Galliformes,Odontophoridae,Callipepla,squamata,191,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,sp2940,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,Callipepla,californica,151,NA,NA,achrustera,"Baja California Sur, Mexico",NA,NA,NA,NA,NA,NA,NA
94,sp2940,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,Callipepla,californica,162,16.5,f,californica,"California, USA",NA,NA,NA,NA,NA,NA,NA
94,sp2940,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,Callipepla,californica,186,15.7,m,californica,"California, USA",NA,NA,NA,NA,NA,NA,NA
95,sp2950,Gambel's Quail,Colin de Gambel,Callipepla gambelii,Galliformes,Odontophoridae,Callipepla,gambelii,162,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,sp2950,Gambel's Quail,Colin de Gambel,Callipepla gambelii,Galliformes,Odontophoridae,Callipepla,gambelii,170,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,sp2960,Montezuma Quail,Colin arlequin,Cyrtonyx montezumae,Galliformes,Odontophoridae,Cyrtonyx,montezumae,179,19.5,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,sp2960,Montezuma Quail,Colin arlequin,Cyrtonyx montezumae,Galliformes,Odontophoridae,Cyrtonyx,montezumae,192,14.2,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,sp2882,Chukar,Perdrix choukar,Alectoris chukar,Galliformes,Phasianidae,Alectoris,chukar,466,NA,f,pubescens,"Hopei, China",NA,NA,NA,NA,NA,NA,NA
100,sp2882,Chukar,Perdrix choukar,Alectoris chukar,Galliformes,Phasianidae,Alectoris,chukar,541,NA,m,pubescens,"Hopei, China",NA,NA,NA,NA,NA,NA,NA
103,sp2881,Gray Partridge,Perdrix grise,Perdix perdix,Galliformes,Phasianidae,Perdix,perdix,393,34,f,NA,"North Dakota, USA",NA,NA,NA,NA,NA,NA,NA
103,sp2881,Gray Partridge,Perdrix grise,Perdix perdix,Galliformes,Phasianidae,Perdix,perdix,418,28,m,NA,"North Dakota, USA",NA,NA,NA,NA,NA,NA,NA
104,sp3091,Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,Galliformes,Phasianidae,Phasianus,colchicus,953,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,sp3091,Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,Galliformes,Phasianidae,Phasianus,colchicus,1317,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,sp3095,Indian Peafowl,Paon bleu,Pavo cristatus,Galliformes,Phasianidae,Pavo,cristatus,3622,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,sp3095,Indian Peafowl,Paon bleu,Pavo cristatus,Galliformes,Phasianidae,Pavo,cristatus,4766,231,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,sp3000,Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,Galliformes,Phasianidae,Bonasa,umbellus,498,NA,f,NA,"Alberta, Canada",NA,NA,NA,NA,NA,NA,NA
106,sp3000,Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,Galliformes,Phasianidae,Bonasa,umbellus,566,41.7,m,NA,"Alberta, Canada",NA,NA,NA,NA,NA,NA,NA
107,sp3090,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Galliformes,Phasianidae,Centrocercus,urophasianus,1300,NA,f,phaios,"California, USA",NA,NA,NA,NA,NA,NA,NA
107,sp3090,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Galliformes,Phasianidae,Centrocercus,urophasianus,1745,151,f,urophasianus,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
107,sp3090,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Galliformes,Phasianidae,Centrocercus,urophasianus,2600,NA,m,phaios,"California, USA",NA,NA,NA,NA,NA,NA,NA
107,sp3090,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Galliformes,Phasianidae,Centrocercus,urophasianus,3190,183,m,urophasianus,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
108,sp3089,Gunnison Sage-Grouse,Tétras du Gunnison,Centrocercus minimus,Galliformes,Phasianidae,Centrocercus,minimus,1200,NA,f,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
108,sp3089,Gunnison Sage-Grouse,Tétras du Gunnison,Centrocercus minimus,Galliformes,Phasianidae,Centrocercus,minimus,2100,NA,m,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
109,sp2980,Spruce Grouse,Tétras du Canada,Falcipennis canadensis,Galliformes,Phasianidae,Falcipennis,canadensis,456,27.5,f,NA,"Washington, USA",NA,NA,NA,NA,NA,NA,NA
109,sp2980,Spruce Grouse,Tétras du Canada,Falcipennis canadensis,Galliformes,Phasianidae,Falcipennis,canadensis,492,31.5,m,NA,"Washington, USA",NA,NA,NA,NA,NA,NA,NA
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,473,27.2,f,alba,"Yukon Territory, Canada",NA,NA,NA,NA,NA,NA,NA
