"species_id","id","genus","species","mean_mass","mean_sd","contains_estimates","contains_na"
27,"sp20630","Alopochen","aegyptiaca",1873,131.424825346052,TRUE,FALSE
28,"sp10210","Cairina","moschata",2450,171.781041107337,TRUE,FALSE
77,"sp3110","Ortalis","vetula",563,55,FALSE,FALSE
85,"sp2920","Oreortyx","pictus",233,16.441231781156,TRUE,FALSE
90,"sp2890","Colinus","virginianus",172,12.1467850349488,TRUE,FALSE
92,"sp2930","Callipepla","squamata",184,12.9918702309989,TRUE,FALSE
94,"sp2940","Callipepla","californica",166.333333333333,14.2891688729015,TRUE,FALSE
95,"sp2950","Callipepla","gambelii",166,11.724191533728,TRUE,FALSE
96,"sp2960","Cyrtonyx","montezumae",185.5,16.85,FALSE,FALSE
100,"sp2882","Alectoris","chukar",503.5,35.4546373692947,TRUE,FALSE
103,"sp2881","Perdix","perdix",405.5,31,FALSE,FALSE
104,"sp3091","Phasianus","colchicus",1135,79.7455650936898,TRUE,FALSE
105,"sp3095","Pavo","cristatus",4194,242.348815236447,TRUE,FALSE
106,"sp3000","Bonasa","umbellus",532,38.3843233687951,TRUE,FALSE
107,"sp3090","Centrocercus","urophasianus",2208.75,151.896047863642,TRUE,FALSE
108,"sp3089","Centrocercus","minimus",1650,115.805169557077,TRUE,FALSE
109,"sp2980","Falcipennis","canadensis",474,29.5,FALSE,FALSE
110,"sp3010","Lagopus","lagopus",570.666666666667,38.8486929499546,TRUE,FALSE
111,"sp3020","Lagopus","muta",535.5,43.9,FALSE,FALSE
112,"sp3040","Lagopus","leucura",355,25.0215381196883,TRUE,FALSE
113,"sp2970","Dendragapus","obscurus",1058.5,70.95,FALSE,FALSE
114,"sp2971","Dendragapus","fuliginosus",1056,73.75,FALSE,FALSE
116,"sp3080","Tympanuchus","phasianellus",885,62.2238231630327,TRUE,FALSE
117,"sp3050","Tympanuchus","cupido",864,60.7512175235354,TRUE,FALSE
118,"sp3070","Tympanuchus","pallidicinctus",746,52.4753512766338,TRUE,FALSE
119,"sp3100","Meleagris","gallopavo",6050,423.129699404224,TRUE,FALSE
130,"sp3131","Columba","livia",354.5,36.65,FALSE,FALSE
134,"sp3140","Patagioenas","leucocephala",179.333333333333,94.3333333333333,FALSE,FALSE
135,"sp3130","Patagioenas","flavirostris",271,25.5091311297744,TRUE,FALSE
136,"sp3120","Patagioenas","fasciata",367.25,25.8824183075223,TRUE,FALSE
139,"sp3152","Streptopelia","roseogrisea",155,10.9493182530572,TRUE,FALSE
141,"sp22860","Streptopelia","decaocto",149,10.95,FALSE,FALSE
142,"sp3151","Streptopelia","chinensis",159,11,FALSE,FALSE
143,"sp3210","Columbina","inca",47.5,4.4,FALSE,FALSE
144,"sp3200","Columbina","passerina",35.5857142857143,2.97483078113454,TRUE,FALSE
146,"sp3201","Columbina","talpacoti",46.05,4.69773403358518,TRUE,FALSE
151,"sp3180","Leptotila","verreauxi",147.5,20.5347879504644,TRUE,FALSE
157,"sp3190","Zenaida","asiatica",153,13.2,FALSE,FALSE
159,"sp3160","Zenaida","macroura",119,1.8,FALSE,FALSE
165,"sp3870","Coccyzus","americanus",64,9.1,FALSE,FALSE
166,"sp3860","Coccyzus","minor",63.9,10.8,FALSE,FALSE
167,"sp3880","Coccyzus","erythropthalmus",50.9,7.3,FALSE,FALSE
173,"sp3850","Geococcyx","californianus",376,90,FALSE,FALSE
174,"sp3830","Crotophaga","ani",111.733333333333,21.5664335827058,TRUE,FALSE
175,"sp3840","Crotophaga","sulcirostris",82.2,6.85,FALSE,FALSE
196,"sp4220","Cypseloides","niger",39.9,2.26666666666667,FALSE,FALSE
201,"sp4230","Chaetura","pelagica",23.6,1.67559759804135,TRUE,FALSE
202,"sp4240","Chaetura","vauxi",17.1,1.3,FALSE,FALSE
206,"sp4250","Aeronautes","saxatalis",32.1,2.5,FALSE,FALSE
219,"sp4260","Eugenes","fulgens",8.1,0.375,FALSE,FALSE
224,"sp4270","Lampornis","clemenciae",7.6,0.25,FALSE,FALSE
230,"sp4370","Calothorax","lucifer",3.3,0.235544864941889,TRUE,FALSE
232,"sp4280","Archilochus","colubris",3.1,0.25,FALSE,FALSE
233,"sp4290","Archilochus","alexandri",3.4,0.4,FALSE,FALSE
235,"sp4310","Calypte","anna",4.25,0.4,FALSE,FALSE
236,"sp4300","Calypte","costae",3.1,0.221306384312053,TRUE,FALSE
239,"sp4320","Selasphorus","platycercus",3.55,0.35,FALSE,FALSE
240,"sp4330","Selasphorus","rufus",3.5,0.249780709954471,TRUE,FALSE
241,"sp4340","Selasphorus","sasin",3.375,0.240881961257074,TRUE,FALSE
244,"sp4360","Selasphorus","calliope",2.65,0.18926067371783,TRUE,FALSE
249,"sp4410","Cynanthus","latirostris",3.1,0.4,FALSE,FALSE
265,"sp4390","Amazilia","yucatanensis",3.9,0.278244957154759,TRUE,FALSE
267,"sp4391","Amazilia","violiceps",5.1,0.363597182615199,TRUE,FALSE
611,"sp3260","Coragyps","atratus",1899.5,115,FALSE,FALSE
612,"sp3250","Cathartes","aura",1552,149.77705568671,TRUE,FALSE
615,"sp3240","Gymnogyps","californianus",8450,590.517034740018,TRUE,FALSE
617,"sp3640","Pandion","haliaetus",1485.5,104.299374820714,TRUE,FALSE
618,"sp3280","Elanus","leucurus",346,23.2,FALSE,FALSE
619,"sp3271","Chondrohierax","uncinatus",287,20.240100998102,TRUE,FALSE
621,"sp3270","Elanoides","forficatus",417,29.3786158677483,TRUE,FALSE
624,"sp3490","Aquila","chrysaetos",4263.5,377.5,FALSE,FALSE
629,"sp3310","Circus","hudsonius",401,36.4866736031414,TRUE,FALSE
631,"sp3320","Accipiter","striatus",135.725,8.89726226999481,TRUE,FALSE
632,"sp3330","Accipiter","cooperii",439,27.85,FALSE,FALSE
634,"sp3340","Accipiter","gentilis",901.666666666667,39.2633563072979,TRUE,FALSE
637,"sp3520","Haliaeetus","leucocephalus",4740,331.758337151929,TRUE,FALSE
640,"sp3290","Ictinia","mississippiensis",278,19.6068743351621,TRUE,FALSE
644,"sp3300","Rostrhamus","sociabilis",370.75,28.9831766355752,TRUE,FALSE
645,"sp3450","Buteogallus","anthracinus",996,70.0024980794033,TRUE,FALSE
649,"sp3350","Parabuteo","unicinctus",865,60.8190910701727,TRUE,FALSE
650,"sp3410","Geranoaetus","albicaudatus",886,62.294249482527,TRUE,FALSE
652,"sp3460","Buteo","plagiatus",528.5,37.208682756909,TRUE,FALSE
653,"sp3390","Buteo","lineatus",607,42.7209067065201,TRUE,FALSE
654,"sp3430","Buteo","platypterus",455,32.0481724373249,TRUE,FALSE
655,"sp3440","Buteo","brachyurus",502.5,45.5,FALSE,FALSE
656,"sp3420","Buteo","swainsoni",958.5,67.3753738212632,TRUE,FALSE
657,"sp3400","Buteo","albonotatus",757,53.2449618155059,TRUE,FALSE
658,"sp3370","Buteo","jamaicensis",1110.25,78.0122625966378,TRUE,FALSE
660,"sp3470","Buteo","lagopus",956,67.2011743205187,TRUE,FALSE
661,"sp3480","Buteo","regalis",1469.5,103.173351733085,TRUE,FALSE
703,"sp3890","Trogon","elegans",70.9,7.7,FALSE,FALSE
728,"sp4080","Melanerpes","lewis",106,7.49554685265416,TRUE,FALSE
729,"sp4060","Melanerpes","erythrocephalus",71.6,5.06841432908327,TRUE,FALSE
730,"sp4070","Melanerpes","formicivorus",79.65,9.2,FALSE,FALSE
735,"sp4110","Melanerpes","uropygialis",64.85,4.75,FALSE,FALSE
736,"sp4100","Melanerpes","aurifrons",80.9,6.7,FALSE,FALSE
737,"sp4090","Melanerpes","carolinus",69.6,10.65,FALSE,FALSE
738,"sp4040","Sphyrapicus","thyroideus",47.6,2.8,FALSE,FALSE
739,"sp4020","Sphyrapicus","varius",50.3,4.3,FALSE,FALSE
740,"sp4021","Sphyrapicus","nuchalis",48.5333333333333,4.6,FALSE,FALSE
741,"sp4030","Sphyrapicus","ruber",54.9666666666667,4.7,FALSE,FALSE
743,"sp4010","Picoides","dorsalis",55.15,3.6,FALSE,FALSE
744,"sp4000","Picoides","arcticus",69.3,4.90602368507443,TRUE,FALSE
